received,employer,city,region,layoff_dates,employees
2024-10-21,"Springfield Anesthesia Service, Inc.",Springfield,West,2024-12-31,91
2024-10-17,Priority Parcels LLC,Revere,Boston,2024-10-31,62
2024-10-15,"Takeda Pharmaceuticals USA, Inc.",Cambridge,Boston,Late Sept 2024 - March 2025,45
2024-10-15,"Takeda Pharmaceuticals USA, Inc.",Lexington,Metro Southwest,Late Sept 2024 - March 2025,34
2024-10-15,"Sodexo/SDH Services East, LLC",Framingham,Metro Southwest,2024-12-31,139
2024-10-15,"Sodexo/SDH Services East, LLC",Cambridge,Boston,2023-12-31,68
2024-09-30,"Xylem Services USA, LLC",Tewksbury,Northeast,12/2/2024- 9/30/2025,84
2024-09-30,"kaleo, Inc.",Massachusetts,Remote,2024-11-30,1
2024-09-26,"ImmunityBio, Inc.",Woburn,Boston,2024-11-25,1
2024-09-10,"Stratasys, Inc.",Waltham,Metro Southwest,9/11/2024 - 9/17/2024,5
2024-09-09,Fresh American LLC (Annie Selke),"Pittsfield, Lenox",West,2024-12-31,47
2024-09-09,"Lost Boys Interactive, LLC","New Bedford, Sturbridge",Remote,2024-09-09,2
2024-08-29,"Briar Group (City Bar, City Table and Solas Irish Pub)",Boston,Boston,2024-10-31,136
2024-08-26,"Gannett Satellite Information Network, LLC",Cambridge,Boston,11/1/2024 - 11/14/2024,74
2024-08-22,"Tome Bioscience, Inc.",Watertown,Boston,11/1/2024 - 11/14/2024,131
2024-08-22,Eastman Chemical Company,Springfield,West,10/21-2024 - 12/31/2024,60
2024-08-15,Anheuser-Busch/AB ONE,Medford,Boston,11/1/2024 - 11/14/2024,193
2024-08-14,"Steward Medical Group, Inc./Carney Hospital",Dorchester,Boston,2024-10-13,37
2024-08-14,"Steward Medical Group, Inc./Nashoba Valley Medical Center",Ayer,Central,2024-10-13,14
2024-08-01,"Sumitomo Pharma America, Inc.",Marlborough,Remote,2024-09-30,53
2024-07-29,Steward Health Care System LLC/Carney Hospital,Dorchester,Boston,2024-08-31,753
2024-07-29,Steward Health Care System LLC/Nashoba Valley Medical Center,Ayer,Central,2024-08-31,490
2024-07-08,"Yankee Candle Company, Inc.",Deerfield,West,2024-09-09,100
2024-07-02,Eastern Nazarene College,Quincy,Southeast,8/29/2024 - Spring 2025,125
2024-07-01,"uniQure, Inc.",Lexington,Metro Southwest,2024-07-01,32
,"*Updated* Community Healthlink, Inc. (aka CHL)","Leominster, Webster & Worcester, MA",Central,2026-08-31,131
2026-06-24,"Peabody Opco, LLC (f/k/a Christianbook, LLC) and Peabody Fulfillment, LLC (f/k/a Christianbook Fulfillment, LLC) (aka Christianbook Entities)","Peabody, MA",Northeast,2026-08-31,125
2026-06-15,The Coca-Cola Company,Northampton,Western,8/15/26 & 11/30/26,175
2026-06-05,SMBC Manubank (dba JeniusBank),Statewide,Statewide,2026-08-03,2
2026-06-04,"*Updated* Community Healthlink, Inc. (aka CHL)","Leominster, Webster & Worcester, MA",Central,2026-07-31,127
2026-06-02,Jabil Inc. (aka Jabil - Clinton JHC),"Clinton, MA",Central,8/1/2026 - 12/1/2026,103
2026-06-01,Chase Corporation,"Oxford, MA",Central,8/1/2026 - 12/31/2026,72
2026-05-26,*Updated* South Shore Elder Services,"Braintree, MA",Southeast,6/1/2026 - 6/30/2026,131
2026-05-21,"MCAT, LLC (dba Harborview Treatment)","Cohasset, MA",Southeast,2026-05-20,66
2026-05-18,"*Updated* WestRock Services, LLC (aka WestRock and Smurfit Westrock)","Wakefield, MA",Boston,5/18/2026 - 5/31/2026,24
