Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
"Equiniti Trust Company, LLC",2025-11-14,2025-08-08,2025-10-17,"1110 Centre Point Curve Suites 101 Mendota Heights, MN, 55120",Kings,Layoff,Permanent,Other,15,13,13
"Essendant Co. and Essendant Management Services, LLC.",2025-12-03,2025-09-04,2025-09-19,"12089 US-9W  Coxsackie, NY, 12051",Greene,Closure,Permanent,Economic,38,64,64
"Evans Bank, National Association",2025-05-02,2025-01-23,2025-01-27,"6460 Main Street  Williamsville, NY, 14221",Erie,Layoff,Permanent,Merger,1,64,64
"Everest Global Services, Inc.",2026-06-30,2025-12-15,2026-06-10,"1155 Avenue of the Americas Everest Global Services, Inc. New York, NY, 10036",New York,Layoff,Permanent,Other,1,17,17
Everest National Insurance Company,2026-03-31,2025-12-15,2026-03-16,"1155 Avenue of the Americas Everest National Insurance Company New York, NY, 10036",New York,Layoff,Permanent,Other,3,49,49
Exel Inc.,2025-04-21,2025-01-13,2025-01-24,"586 Gulf Avenue  Staten Island, NY, 10314",Richmond,Closure,Permanent,Contract Loss,67,116,116
"F21 OpCO, LLC.",2025-05-27,2025-02-19,2025-03-13,"435 Seventh Ave  New York, NY, 10120",New York,Closure,Permanent,Economic,245,27,27
"F21 OpCO, LLC.",2025-05-27,2025-02-19,2025-03-13,"1540 Broadway  New York, NY, 10036",New York,Closure,Permanent,Economic,246,72,72
"Fareportal, Inc.",2025-10-03,2025-10-03,2025-10-16,"137 W. 25th Street  New York, NY, 10001",New York,Layoff,Permanent,Economic,30,29,29
"Fellers, LLC.",2025-06-27,2025-07-10,2025-07-21,"8 Access Road Unit 3 Albany, NY, 12205",Albany,Closure,Permanent,Other,32,2,2
"Fellers, LLC.",2025-06-27,2025-04-30,2025-07-21,"6515 Transit Road Suite 26 Bowmansville, NY, 14026",Erie,Closure,Permanent,Other,33,1,1
"Ferguson Enterprises, LLC.",2025-07-21,2025-04-22,2025-04-24,"1819 Flushing Avenue  Ridgewood, NY, 11385",Queens,Closure,Permanent,Other,50,32,32
"Frito-Lay, Inc.",2025-05-21,2025-02-18,2025-02-21,"89 Mill Street  Liberty, NY, 12754",Sullivan,Closure,Permanent,Economic,254,287,287
"Galaxy Restaurants Catering Group, LP",2025-07-31,2025-05-02,2025-08-21,"2 West Loop Road  Roosevelt Island, NY, 10044",New York,Closure,Permanent,Contract Loss,58,20,20
"GC Riverside, LLC.",2025-11-01,2025-07-31,2025-08-05,"235 Freedom Place  New York, NY, 10069",New York,Closure,Permanent,Contract Loss,60,72,72
"Goldman, Sachs & Co, LLC.",2025-06-22,2025-03-24,2025-09-08,"200 West Street  New York, NY, 10282",New York,Layoff,Permanent,Economic,44,343,343
Good Samaritan Certified Home Health Care Agency,2025-07-02,2025-04-03,2025-04-09,"1 Crossfield Ave  West Nyack, NY, 10994",Rockland,Closure,Permanent,Economic,243,48,48
Good Samaritan Certified Home Health Care Agency,2025-07-02,2025-04-03,2025-04-09,"90 Crystal Run Road  Middletown, NY, 10940",Orange,Closure,Permanent,Economic,242,38,38
"GVC, LTD.",2025-06-27,2025-06-26,2025-07-28,"1392 Commerce Ave  Bronx, NY, 10461",Bronx,Layoff,Permanent,Contract Expiration,14,187,187
"H&M Fashion USA, Inc.",2026-01-19,2025-10-21,2025-11-21,"18 Church Street  New York, NY, 10007",New York,Closure,Permanent,Expiration of Lease,1,31,31
"H&M Fashion USA, Inc.",2026-01-19,2025-10-21,2025-11-21,"150 East 86th Street  New York, NY, 10028",New York,Closure,Permanent,Expiration of Lease,2,31,31
"Havana Central NY5, LLC. d/b/a Havana Central Roosevelt Field",2025-09-20,2025-09-20,2025-10-10,"630 Old Country Road  Garden City, NY, 11530",Nassau,Closure,Permanent,Economic,31,45,45
"HomeTeam Technologies, Inc.",2025-10-15,2025-10-15,2025-11-17,"115 W 30th Street Suite 601 New York, NY, 10001",New York,Closure,Permanent,Economic Sale of Business,1,60,60
"Hudson Valley Radiologists, P.C.",2025-11-30,2025-08-12,2025-09-19,"1 Columbia Street  Poughkeepsie, NY, 12601",Dutchess,Closure,Permanent,Contract Termination,11,9,9
"Hudson Valley Radiologists, P.C.",2025-11-30,2025-08-12,2025-09-19,"2678 South Road  Poughkeepsie, NY, 12601",Dutchess,Closure,Permanent,Contract Termination,12,22,22
IC Coachways Inc.,2025-10-31,2025-10-21,2026-01-22,"380 Chelsea Road  Staten Island, NY, 10314",Richmond,Layoff,Temporary,Contract Expiration,5,103,103
"IG Design Group Americas, Inc.",2025-09-25,2025-06-27,2025-07-08,"1411 Broadway 5th Floor New York, NY, 10018",New York,Closure,Permanent,Sale of Business,50,80,80
"Institute of International Education, Inc.",2025-03-07,2025-03-07,2025-03-11,"One World Trade Center 36th Floor New York, NY, 10007",New York,Layoff,Permanent,Funding Loss,116,2,2
"Institute of International Education, Inc. (Rescission)",2026-05-03,2025-09-23,2026-04-23,"One World Trade Center, 36th Floor  New York, NY, 10007",New York,Layoff,Temporary,Funding Loss,1,0,0
International AIDS Vaccine Initiative,2025-04-11,2025-03-14,2025-03-24,"125 Broad Street 9th Floor New York, NY, 10004",New York,Layoff,Permanent,Funding Loss,115,14,14
"Interstate Hotels, LLC.",2025-06-22,2025-03-21,2025-03-27,"45 E 45th St  New York, NY, 10017",New York,Closure,Permanent,Contract Termination,40,96,96
Island Peer Review Org Inc. (IPRO),2025-07-14,2025-03-26,2025-05-22,"20 Corporate Woods Blvd, 1st floor  Albany, NY, 12211",Albany,Layoff,Permanent,Contract Expiration,15,37,37
